
------------
PTGENDER_demo
PROGRESSION_CATEGORY,F,M,All
<2 years,26,36,62
<4 years,24,31,55
≥4 years,15,22,37
Censored,177,213,390
All,242,302,544

------------
APOE
PROGRESSION_CATEGORY,0,1,2,All
<2 years,17,36,9,62
<4 years,21,23,11,55
≥4 years,18,15,4,37
Censored,230,122,38,390
All,286,196,62,544

------------------------------
Age (yrs)
         <2 years    <4 years    ≥4 years    Censored
         <2 years    <4 years    ≥4 years    Censored
-----  ----------  ----------  ----------  ----------
count      62          55          37         390
mean      751.885     713.287     914.865    1180.63
std       335.754     252.652     465.763     600.831
min       267.2       316.1       408.4       291.1
25%       561.35      562.9       568.6       696.675
50%       645.6       684.7       779.8      1057.5
75%       909.2       808.3      1086        1587
max      1997        1795        2477        3331


------------------------------
t-tau (pg/mL)
         <2 years    <4 years    ≥4 years    Censored
-----  ----------  ----------  ----------  ----------
count      62          55          37         390
mean      353.523     374.731     296.751     250.959
std       128.404     154.845     155.425     112.155
min       101.2       130.7       125          93.85
25%       257.625     265.3       193.7       174.725
50%       328.65      340.7       277.5       228.9
75%       456.6       453.9       334.2       295.225
max       670.1       816.9       811.7       851.8


------------------------------
p-tau (pg/mL)
         <2 years    <4 years    ≥4 years    Censored
-----  ----------  ----------  ----------  ----------
count     62          55          37         390
mean      35.4402     38.1564     28.9311     23.7239
std       14.6239     17.715      16.8396     12.8291
min        8.72       11.79        9.22        8
25%       23.9875     25.27       17.74       15.62
50%       32.405      34.01       27.88       20.215
75%       45.89       49.29       33.56       27.7125
max       74.45       92.08       82.04      103


------------
PTGENDER_demo
PROGRESSION_CATEGORY,F,M,All
<2 years,26,36,62
<4 years,24,31,55
≥4 years,15,22,37
Censored,177,213,390
All,242,302,544

------------
APOE
PROGRESSION_CATEGORY,0,1,2,All
<2 years,17,36,9,62
<4 years,21,23,11,55
≥4 years,18,15,4,37
Censored,230,122,38,390
All,286,196,62,544

------------------------------
Age (yrs)
         <2 years    <4 years    ≥4 years    Censored
-----  ----------  ----------  ----------  ----------
count    62          55          37         390
mean     72.5        73.4727     74.4865     71.5487
std       7.33228     7.18758     7.01832     7.71647
min      55          57          60          55
25%      69.25       69.5        69          66
50%      74          74          75          71
75%      76          78          79          77
max      87          87          88          91


------------------------------
Education (yrs)
         <2 years    <4 years    ≥4 years    Censored
-----  ----------  ----------  ----------  ----------
count    62          55          37         390
mean     15.7258     16.1091     16.5135     16.1923
std       2.93743     2.56524     2.65227     2.63776
min       6          12          12          10
25%      14          14          14          14
50%      16          16          16          16
75%      18          18          19          18
max      20          20          20          20


------------------------------
MMSE
         <2 years    <4 years    ≥4 years    Censored
-----  ----------  ----------  ----------  ----------
count    62          55          37         390
mean     26.629      27.5091     27.9459     28.1692
std       1.96054     1.63155     1.56251     1.75551
min      23          24          24          19
25%      25          26          27          27
50%      26          27          28          29
75%      28          29          29          29
max      30          30          30          30


------------------------------
Aβ42 (pg/mL)
         <2 years    <4 years    ≥4 years    Censored
-----  ----------  ----------  ----------  ----------
count      62          55          37         390
mean      751.885     713.287     914.865    1180.63
std       335.754     252.652     465.763     600.831
min       267.2       316.1       408.4       291.1
25%       561.35      562.9       568.6       696.675
50%       645.6       684.7       779.8      1057.5
75%       909.2       808.3      1086        1587
max      1997        1795        2477        3331


------------------------------
t-tau (pg/mL)
         <2 years    <4 years    ≥4 years    Censored
-----  ----------  ----------  ----------  ----------
count      62          55          37         390
mean      353.523     374.731     296.751     250.959
std       128.404     154.845     155.425     112.155
min       101.2       130.7       125          93.85
25%       257.625     265.3       193.7       174.725
50%       328.65      340.7       277.5       228.9
75%       456.6       453.9       334.2       295.225
max       670.1       816.9       811.7       851.8


------------------------------
p-tau (pg/mL)
         <2 years    <4 years    ≥4 years    Censored
-----  ----------  ----------  ----------  ----------
count     62          55          37         390
mean      35.4402     38.1564     28.9311     23.7239
std       14.6239     17.715      16.8396     12.8291
min        8.72       11.79        9.22        8
25%       23.9875     25.27       17.74       15.62
50%       32.405      34.01       27.88       20.215
75%       45.89       49.29       33.56       27.7125
max       74.45       92.08       82.04      103


------------
PTGENDER_demo
PROGRESSION_CATEGORY,F,M,All
<2 years,26,36,62
<4 years,24,31,55
≥4 years,15,22,37
Censored,177,213,390
All,242,302,544

------------
APOE
PROGRESSION_CATEGORY,0,1,2,All
<2 years,17,36,9,62
<4 years,21,23,11,55
≥4 years,18,15,4,37
Censored,230,122,38,390
All,286,196,62,544

------------------------------
Age (yrs)
         <2 years    <4 years    ≥4 years    Censored
-----  ----------  ----------  ----------  ----------
count    62          55          37         390
mean     72.5        73.4727     74.4865     71.5487
std       7.33228     7.18758     7.01832     7.71647
min      55          57          60          55
25%      69.25       69.5        69          66
50%      74          74          75          71
75%      76          78          79          77
max      87          87          88          91


------------------------------
Education (yrs)
         <2 years    <4 years    ≥4 years    Censored
-----  ----------  ----------  ----------  ----------
count    62          55          37         390
mean     15.7258     16.1091     16.5135     16.1923
std       2.93743     2.56524     2.65227     2.63776
min       6          12          12          10
25%      14          14          14          14
50%      16          16          16          16
75%      18          18          19          18
max      20          20          20          20


------------------------------
MMSE
         <2 years    <4 years    ≥4 years    Censored
-----  ----------  ----------  ----------  ----------
count    62          55          37         390
mean     26.629      27.5091     27.9459     28.1692
std       1.96054     1.63155     1.56251     1.75551
min      23          24          24          19
25%      25          26          27          27
50%      26          27          28          29
75%      28          29          29          29
max      30          30          30          30


------------------------------
Aβ42 (pg/mL)
         <2 years    <4 years    ≥4 years    Censored
-----  ----------  ----------  ----------  ----------
count      62          55          37         390
mean      751.885     713.287     914.865    1180.63
std       335.754     252.652     465.763     600.831
min       267.2       316.1       408.4       291.1
25%       561.35      562.9       568.6       696.675
50%       645.6       684.7       779.8      1057.5
75%       909.2       808.3      1086        1587
max      1997        1795        2477        3331


------------------------------
t-tau (pg/mL)
         <2 years    <4 years    ≥4 years    Censored
-----  ----------  ----------  ----------  ----------
count      62          55          37         390
mean      353.523     374.731     296.751     250.959
std       128.404     154.845     155.425     112.155
min       101.2       130.7       125          93.85
25%       257.625     265.3       193.7       174.725
50%       328.65      340.7       277.5       228.9
75%       456.6       453.9       334.2       295.225
max       670.1       816.9       811.7       851.8


------------------------------
p-tau (pg/mL)
         <2 years    <4 years    ≥4 years    Censored
-----  ----------  ----------  ----------  ----------
count     62          55          37         390
mean      35.4402     38.1564     28.9311     23.7239
std       14.6239     17.715      16.8396     12.8291
min        8.72       11.79        9.22        8
25%       23.9875     25.27       17.74       15.62
50%       32.405      34.01       27.88       20.215
75%       45.89       49.29       33.56       27.7125
max       74.45       92.08       82.04      103

